FECHA;PUESTOLLEGADA;NUMAUTO;NOMBREPILOTO;EQUIPO;VUELTAS;TPOCARRERA;PUESTOPARRILLA;PUNTOSCARRERA
2012/07/22;15;18;Pastor Maldonado;Williams-Renault;66;+1 Lap;5;0
2012/07/22;16;21;Vitaly Petrov;Caterham-Renault;66;+1 Lap;18;0
2012/07/22;17;19;Bruno Senna;Williams-Renault;66;+1 Lap;14;0
2012/07/22;18;10;Romain Grosjean;Lotus-Renault;66;+1 Lap;19;0
2012/07/22;19;20;Heikki Kovalainen;Caterham-Renault;65;+2 Laps;16;0
2012/07/22;20;25;Charles Pic;Marussia-Cosworth;65;+2 Laps;20;0
2012/07/22;21;22;Pedro de la Rosa;HRT-Cosworth;64;+3 Laps;23;0
2012/07/22;22;24;Timo Glock;Marussia-Cosworth;64;+3 Laps;22;0
2012/07/22;23;23;Narain Karthikeyan;HRT-Cosworth;64;+3 Laps;24;0
2012/07/22;Ret;4;Lewis Hamilton;McLaren-Mercedes;56;Puncture damage;7;0
2012/07/29;1;4;Lewis Hamilton;McLaren-Mercedes;69;1:41:05.503;1;25
2012/07/29;2;9;Kimi Raikkonen;Lotus-Renault;69;+1.0 secs;5;18
2012/07/29;3;10;Romain Grosjean;Lotus-Renault;69;+10.5 secs;2;15
2012/07/29;4;1;Sebastian Vettel;Red Bull Racing-Renault;69;+11.6 secs;3;12
2012/07/29;5;5;Fernando Alonso;Ferrari;69;+26.6 secs;6;10
2012/07/29;6;3;Jenson Button;McLaren-Mercedes;69;+30.2 secs;4;8
2012/07/29;7;19;Bruno Senna;Williams-Renault;69;+33.8 secs;9;6
2012/07/29;8;2;Mark Webber;Red Bull Racing-Renault;69;+34.4 secs;11;4
2012/07/29;9;6;Felipe Massa;Ferrari;69;+38.3 secs;7;2
2012/07/29;10;8;Nico Rosberg;Mercedes;69;+51.2 secs;13;1
2012/07/29;11;12;Nico Hulkenberg;Force India-Mercedes;69;+57.2 secs;10;0
2012/07/29;12;11;Paul di Resta;Force India-Mercedes;69;+62.8 secs;12;0
2012/07/29;13;18;Pastor Maldonado;Williams-Renault;69;+63.6 secs;8;0
